Date,Ticker,Open,High,Low,Close,Volume
06/07/2016,VOO,194.05,194.78,194.02,194.2,"1,551,220"
06/06/2016,VOO,193.29,194.24,193.12,193.85,"1,177,575"
06/03/2016,VOO,192.85,193.26,191.59,192.92,"1,897,245"
06/02/2016,VOO,192.45,193.48,191.92,193.48,"1,601,670"
06/01/2016,VOO,191.88,193.06,191.63,192.9,"2,375,453"
05/31/2016,VOO,193.16,193.27,191.88,192.54,"2,821,918"
05/27/2016,VOO,192.19,192.83,192.16,192.77,"988,554"
05/26/2016,VOO,192.14,192.36,191.68,192.02,"1,225,286"
05/25/2016,VOO,191.38,192.42,191.36,191.93,"2,006,658"
05/24/2016,VOO,189.13,191.01,189.08,190.63,"1,985,569"
05/23/2016,VOO,188.48,188.78,188.02,188.24,"1,415,351"
05/20/2016,VOO,187.97,189.05,187.9,188.49,"1,588,705"
05/19/2016,VOO,187.15,187.59,185.97,187.32,"1,795,981"
05/18/2016,VOO,187.5,189.2,186.78,187.93,"1,941,954"
05/17/2016,VOO,189.35,189.65,187.33,187.96,"3,327,139"
05/16/2016,VOO,187.98,190.16,187.93,189.63,"1,075,169"
05/13/2016,VOO,189.1,189.71,187.46,187.76,"1,659,017"
05/12/2016,VOO,190.14,190.29,188.36,189.51,"1,783,364"
05/11/2016,VOO,190.71,191.07,189.39,189.4,"2,725,489"
05/10/2016,VOO,189.61,191.21,189.54,191.19,"1,021,067"
05/09/2016,VOO,188.55,189.27,188.36,188.85,"1,569,041"
05/06/2016,VOO,187.21,188.72,187,188.65,"1,551,415"
05/05/2016,VOO,188.57,188.9,187.57,187.97,"1,611,560"
05/04/2016,VOO,187.99,188.78,187.47,187.99,"2,079,584"
05/03/2016,VOO,189.44,189.66,188.28,189.1,"2,351,937"
05/02/2016,VOO,189.81,190.95,189.34,190.73,"1,638,888"
04/29/2016,VOO,189.62,189.98,188.05,189.22,"2,785,562"
04/28/2016,VOO,191.22,192.4,189.85,190.3,"1,578,782"
04/27/2016,VOO,191.21,192.44,190.8,192.03,"1,972,145"
04/26/2016,VOO,191.72,192.16,191.14,191.63,"1,715,256"
04/25/2016,VOO,191.07,191.36,190.35,191.35,"2,367,987"
04/22/2016,VOO,191.3,191.94,190.69,191.66,"1,863,871"
04/21/2016,VOO,192.7,192.82,191.37,191.61,"1,814,695"
04/20/2016,VOO,192.6,193.43,192.05,192.68,"1,636,809"
04/19/2016,VOO,192.36,192.78,191.64,192.52,"1,633,309"
04/18/2016,VOO,189.99,191.94,189.85,191.94,"2,345,283"
04/15/2016,VOO,190.8,190.85,190.22,190.56,"2,059,711"
04/14/2016,VOO,190.84,191.31,190.41,190.77,"3,214,859"
04/13/2016,VOO,189.88,190.85,189.71,190.79,"1,972,878"
04/12/2016,VOO,187.29,189.18,186.83,188.9,"1,591,103"
04/11/2016,VOO,188.26,188.99,187.03,187.08,"1,355,339"
04/08/2016,VOO,188.31,188.77,186.99,187.57,"2,043,818"
04/07/2016,VOO,188.17,188.5,186.26,187.06,"2,635,339"
04/06/2016,VOO,187.39,189.38,187.09,189.29,"1,860,788"
04/05/2016,VOO,187.74,188.21,187,187.25,"1,737,546"
04/04/2016,VOO,189.74,189.9,188.83,189.17,"1,259,504"
04/01/2016,VOO,187.4,189.96,187.1,189.77,"2,971,762"
03/31/2016,VOO,188.85,189.29,188.32,188.56,"3,007,818"
03/30/2016,VOO,189.17,189.72,188.58,189.01,"1,908,432"
03/29/2016,VOO,185.99,188.22,185.63,188.22,"1,604,863"
03/28/2016,VOO,186.76,186.94,185.92,186.43,"1,271,292"
03/24/2016,VOO,185.25,186.32,185.01,186.3,"1,874,837"
03/23/2016,VOO,187.18,187.36,186.18,186.43,"1,633,330"
03/22/2016,VOO,186.89,188.21,186.71,187.63,"1,521,645"
03/21/2016,VOO,187.18,187.94,186.91,187.73,"1,535,429"
03/18/2016,VOO,188.35,188.79,187.91,188.45,"2,623,374"
